Year.Month,Day,Temperature
2024,1,1,17.2
2024,1,2,17.3
2024,1,3,15.3
2024,1,4,12.8
2024,1,5,14
2024,1,6,14.6
2024,1,7,15.3
2024,1,8,15.9
2024,1,9,15.4
2024,1,10,15.6
2024,1,11,14.9
2024,1,12,14.8
2024,1,13,15.2
2024,1,14,14.8
2024,1,15,14.9
2024,1,16,16.6
2024,1,17,15.1
2024,1,18,15.9
2024,1,19,15.2
2024,1,20,16.5
2024,1,21,14.4
2024,1,22,15.7
2024,1,23,***
2024,1,24,8.9
2024,1,25,9.6
2024,1,26,10.8
2024,1,27,14
2024,1,28,12.8
2024,1,29,13
2024,1,30,16.2
2024,1,31,17.5
2024,2,1,19.1
2024,2,2,18.5
2024,2,3,18
2024,2,4,19
2024,2,5,19.3
2024,2,6,17.7
2024,2,7,17.7
2024,2,8,13
2024,2,9,12.6
2024,2,10,12.5
2024,2,11,10.1
2024,2,12,11.3
2024,2,13,13.6
2024,2,14,15.3
2024,2,15,16.8
2024,2,16,16.5
2024,2,17,17.7
2024,2,18,18.6
2024,2,19,19.1
2024,2,20,19
2024,2,21,19.7
2024,2,22,20.2
2024,2,23,20.2
2024,2,24,17.8
2024,2,25,16.9
2024,2,26,15.5
2024,2,27,16.6
2024,2,28,17.1
2024,2,29,18.3
2024,3,1,15.3
2024,3,2,11
2024,3,3,13.9
2024,3,4,16.7
2024,3,5,20.3
2024,3,6,21.8
2024,3,7,17.5
2024,3,8,16.3
2024,3,9,15.1
2024,3,10,14.7
2024,3,11,15.3
2024,3,12,12.3
2024,3,13,14.3
2024,3,14,16.7
2024,3,15,18.5
2024,3,16,18.8
2024,3,17,19.6
2024,3,18,19.3
2024,3,19,18.8
2024,3,20,15.1
2024,3,21,15.5
2024,3,22,19.3
2024,3,23,20.3
2024,3,24,23.5
2024,3,25,21.9
2024,3,26,21.8
2024,3,27,21.2
2024,3,28,21.2
2024,3,29,22
2024,3,30,22.7
2024,3,31,24.6
2024,4,1,24
2024,4,2,***
2024,4,3,24.6
2024,4,4,24.7
2024,4,5,23.4
2024,4,6,22.5
2024,4,7,22.9
2024,4,8,23.2
2024,4,9,22.4
2024,4,10,20.9
2024,4,11,21.6
2024,4,12,21.3
2024,4,13,22.1
2024,4,14,23.8
2024,4,15,24.6
2024,4,16,22.7
2024,4,17,24.9
2024,4,18,25.8
2024,4,19,24.3
2024,4,20,25
2024,4,21,22.4
2024,4,22,22
2024,4,23,23.5
2024,4,24,23.2
2024,4,25,23.7
2024,4,26,24.7
2024,4,27,26.3
2024,4,28,23.2
2024,4,29,24.2
2024,4,30,25.5
2024,5,1,21
2024,5,2,22.9
2024,5,3,22.8
2024,5,4,23.2
2024,5,5,21.6
2024,5,6,23.3
2024,5,7,24.5
2024,5,8,24.3
2024,5,9,22.9
2024,5,10,22.5
2024,5,11,23.8
2024,5,12,24.8
2024,5,13,24.5
2024,5,14,22.2
2024,5,15,22.1
2024,5,16,22.1
